datetime,outdoor_temperature,indoor_temperature,past_electricity,y
02-11-22 15:00,23.91344293,22.0,1329.9,3014.7
23-12-22 10:00,22.60682051,12.58333333,2141.0625,1431.3
24-11-22 11:00,23.31946248,18.5,943.9625,1557.6625
08-11-22 14:00,22.50370929,20.0,2436.5625,991.45
12-12-22 13:00,21.38451475,18.75,3036.1125,1804.4625
15-11-22 13:00,21.52799946,17.91666667,2509.475,1414.1125
06-12-22 08:00,19.84164427,15.25,783.3875,623.8
08-11-22 10:00,23.07261101,18.91666667,1545.73,1206.6
19-10-22 09:00,23.81484239,19.58333333,1086.3,614.2
31-10-22 10:00,23.55572036,18.66666667,468.452514,1113.975
02-11-22 11:00,24.04310952,20.5,1294.025,921.275
16-11-22 10:00,21.84097035,17.58333333,717.725,958.15
31-10-22 11:00,23.93821079,19.5,468.452514,1264.025
04-10-22 10:00,27.27152863,22.5,732.05,618.7375
19-10-22 12:00,23.91218709,20.0,944.95,1656.0875
13-12-22 10:00,21.47954347,18.58333333,829.75,1112.2
14-10-22 13:00,26.68820912,22.75,943.05,1597.175
15-12-22 15:00,22.6645594,23.58333333,1900.95,2038.825
25-10-22 11:00,25.5,21.0,1593.7,1242.75
29-12-22 13:00,20.72583773,16.91666667,2872.0,3222.45
20-10-22 08:00,23.81878177,17.75,432.6,647.375
27-10-22 15:00,25.39922533,22.0,1845.8,1954.9
08-12-22 13:00,21.25296445,20.75,1634.8125,2134.925
06-12-22 10:00,20.50986474,15.91666667,1096.9125,1143.35
21-11-22 15:00,23.60217418,22.83333333,2293.15,1828.05
20-10-22 09:00,23.88544356,18.75,614.2,791.7125
28-11-22 10:00,21.08834451,14.75,1002.85,2123.0
14-10-22 12:00,26.75,21.75,1028.4375,1643.275
06-10-22 15:00,26.88,22.58333333,1019.475,923.1
10-10-22 13:00,25.77432189,22.83333333,2009.3,1485.675
31-10-22 08:00,22.19194245,16.0,468.452514,459.175
25-10-22 10:00,24.89538043,19.58333333,1346.45,1655.15
04-11-22 15:00,24.15171853,22.41666667,1165.625,2342.0
09-11-22 10:00,23.42881466,18.83333333,1206.6,831.55
04-11-22 14:00,24.25,22.75,1424.0125,1222.75
14-10-22 11:00,26.25040464,20.75,865.025,845.2
18-11-22 14:00,22.60549926,23.75,1922.275,1893.6
05-12-22 13:00,20.38583987,17.91666667,5250.3,2658.625
25-11-22 15:00,22.50620286,17.41666667,1795.7125,1805.475
25-11-22 08:00,21.58725248,14.5,515.125,493.975
05-12-22 11:00,20.47326307,17.25,1143.025,2557.4625
06-12-22 13:00,21.44477891,16.91666667,2658.625,1592.95
12-12-22 14:00,21.24179353,19.0,2874.025,1408.2125
23-11-22 10:00,22.2858683,18.75,912.8125,931.625
25-10-22 13:00,25.4013331,23.66666667,2246.7,2073.9
25-11-22 12:00,22.59218289,17.16666667,1323.6375,2209.8
14-11-22 15:00,21.38,18.0,1533.4,2090.375
15-12-22 12:00,23.25855725,21.33333333,2864.95,2184.05
14-11-22 11:00,21.38,18.0,2490.075,2351.575
26-10-22 09:00,22.16420153,17.36904762,648.55,766.55
15-12-22 14:00,22.86255869,23.25,2931.35,2697.475
23-11-22 15:00,22.10322622,15.41666667,1478.7625,2330.1375
30-11-22 14:00,21.49046016,17.5,2940.4875,3126.9
08-12-22 12:00,21.32994921,19.75,2598.6875,1917.75
20-12-22 10:00,21.86883057,13.91666667,2783.05,1872.1875
05-12-22 15:00,20.29841667,16.83333333,2422.2,2352.3375
23-12-22 12:00,22.88607789,15.33333333,2299.2875,2750.45
07-12-22 10:00,20.84841897,14.75,1143.35,880.1
02-12-22 09:00,21.663794,15.75,693.4,754.0
24-10-22 08:00,23.16619534,17.5,637.075,508.3
04-11-22 11:00,24.20158041,20.0,1337.65,981.6
28-11-22 09:00,20.77725367,13.75,451.4,1362.0
02-12-22 08:00,21.21941171,14.75,617.5875,1016.375
30-11-22 15:00,21.26599327,16.83333333,2490.95,3297.325
27-12-22 14:00,20.15840326,18.25,4051.5,2232.95
19-12-22 08:00,22.74273851,16.25,567.225,998.8125
16-11-22 09:00,21.27017599,15.91666667,770.9,600.0625
23-12-22 15:00,22.55489114,17.0,2948.0625,3185.4625
02-11-22 12:00,24.01069287,21.16666667,1722.325,1271.5125
27-10-22 08:00,25.40473342,16.0,957.525,468.452514
08-11-22 13:00,22.62415569,19.91666667,4436.9,1047.3
22-11-22 10:00,23.63179847,18.66666667,1009.425,912.8125
16-11-22 08:00,20.78957944,14.25,522.9,539.125
24-10-22 11:00,24.96037958,19.75,1273.3375,1593.7
25-10-22 08:00,22.73701513,16.25,508.3,761.5875
05-12-22 09:00,19.64554365,14.5,754.0,837.2875
15-11-22 08:00,22.47779315,16.25,539.05,522.9
13-12-22 13:00,21.28263565,19.91666667,1804.4625,1947.15
01-12-22 14:00,21.14153777,19.75,3126.9,3247.05
25-10-22 15:00,25.13986763,24.0,1464.15,1094.55
25-11-22 13:00,22.70400987,17.83333333,1087.275,1601.85
14-12-22 14:00,22.38769066,18.0,1469.575,2931.35
21-10-22 11:00,23.54913749,20.0,1651.025,1273.3375
14-12-22 10:00,21.5297307,16.91666667,1112.2,1719.125
30-11-22 11:00,20.95044906,16.5,2603.85,2372.3
26-10-22 13:00,25.62,17.55952381,2073.9,2280.025
09-12-22 09:00,21.379635,16.75,1105.375,1364.884375
11-10-22 12:00,25.88713071,21.33333333,992.2,1917.35
22-12-22 10:00,20.50992092,14.83333333,2163.5,2141.0625
14-10-22 09:00,23.65776471,18.75,848.25,823.625
